Application,Attributes,Automatic,Brand Name,Brooches Type,Buttom Base,Capacity,Category,Certifications,Closure,Coating,Coating Side,Color,Company Name,Computerized,Condition,Control Mode,Control System,Currency,Customization,Customized,Decoration Material,Delivery Time,Design,Diameter,Dimension (L*W*H),Dimension(L*W*H),Drawing,Dress Type,Ethnic Region,FOB Port,Fabric Type,Feature,Features,Foundation,Frequency,GSTIN,Gender,Gender/Age Group,General Use,Grade,Heat Resistance,Height,Industrial Use,Installation Type,Jewelry Main Material,Jewelry Type,Length,Logo,Logo Pattern,MRP,Main Domestic Market,Main Export Market(s),Material,Metals Type,Minimum Order Quantity,Minimum Ordered Packs,Mop,Moq,Mounting Type,Noise Level,Occasion,Packaging Details,Packsize,Pattern,Pattern Type,Payment Terms,Phase,Pkg Box Breadth,Pkg Box Height,Pkg Box Length,Plastic Type,Plating,Power,Price,Price Type,Processing,Product Link,Product Name,Product Type,Product Unit,QC System,Returnable,Sample Available,Sample Policy,Sealing and Handle,Season,Shape,Shipping Type,Size,Sleeve Style,Stock Quantity,Storage / Tankless,Style,Supply Ability,Surface Finishing,Surface Materials,Surface Treatment,Technics,Temperature,Temperature Resistance,Tensile Strength,Texture,Thickness,Tightness,Tolerance,Touch Screen,Transparency,Type,Unit Type,Usage,Usage & Applications,Use,Vehicle Type,Voltage,Volume (L),Wall Thickness,Warranty,Weight,Weight (kg),Width,Work Type
,,,,,,,Water Storage Tanks,ISO 9001-2008 CERTIFIEDCE CERTIFIED,,,,,SHREE UMIYA ROTOPLAST CONTAINER,,,,,,,,,1 Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Plastic,,,,,,,,,,,,,,,,,,LLDPE,,,,,,https://www.tradeindia.com/products/shivaay-gold-water-storage-tank-c3410880.html,"Shivaay Gold Water Storage Tank - LLDPE Material, 3 Layer Design | Flexible, Durable, Anti-Bacterial, Leak Proof, UV Protected, Weather Proof",,,,,,,,,,,,,,,,400000 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,,,MKV TECH SOLUTIONS,,,75000 Ltr,Water Storage Tanks,,,,,White,MKV TECH SOLUTIONS,,NEW,,,INR,,,,10 Days,,,,,,,,,,,,,,0%,,,,First Class,,,,,,,,,,,All India,,,,1,1,1,1,,,,,1,,,,,,,,,,,545000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/75000-liter-zinc-aluminium-water-storage-tank-c8460831.html,75000 Liter Zinc Aluminium Water Storage Tank - Application: Industrial,75000 Liter Zinc Aluminium Water Storage Tank,1 Liter/Liters,,No,,,,,,,Different Sizes Available,,10,,,100 Per Month,,,,,,,,,,,,,,,Liter/Liters,Storage,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Silver,UNIVERSAL ENERGY SOLUTIONS,,NEW,,,,,,,2-10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/hot-water-storage-tank-c10673166.html,Hot Water Storage Tank - Color: Silver,,,,,,,,,,,Standard,,,,,50 Per Month,,,,,,,,,,,,,,,,Industrial,,,,,,,,50-200 Kilograms (kg),,,
Industrial,,,RISHIT ENGINEERING,,,,Water Storage Tanks,,,,,Blue,RISHIT ENGINEERING,,,,,INR,,,,1 Week,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Plastic,,1,1,1,1,,,,Standard.,1,,,Cash in Advance (CID),,,,,,,,48000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/pph-barrel-7079652.html,Pph Barrel Tank,Php Barrel Tank,1 Unit/Units,,No,,Contact us for information regarding our sample policy,,,Rectangular,,,,5,,,10 Per Week,,,,,,,,,,,,,,,Unit/Units,Industrial,,,,,,,,,,,
,,,HI FILL ENGINEERS,,,,Water Storage Tanks,,,,,,HI FILL ENGINEERS & FABRICATORS,,,,,INR,,,,,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,,120000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/ss-water-storage-tanks-c1418348.html,SS Water Storage Tanks,,1 Piece/Pieces,,No,,,,,,,,,10,,,,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,White,AJMERA AND COMPANY,,NEW,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,37.7-124.4 Inch (in),,,,,,,,,All India,,,,,,,,,,,,,,,Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/triple-layer-white-tank-c7315654.html,Triple Layer White Water Storage Tank Height: 37.7-124.4 Inch (In),Water Tank,,,,,,,,,,35.8-83.6 Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RAJARAM POLYMERS,,,,Water Storage Tanks,,,,,Different Available,RAJARAM POLYMERS,,,,,INR,,,,10 Days,,,,,,,,,,,,,,0%,,,,First Class,,,,,,,,,,,All India,,Plastic,,10,10,10,10,,,,,,,,Cash on Delivery (COD),,,,,ABS,,,6000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/500-litres-to-1000-litres-plastic-water-storage-tanks-c8773548.html,500 Litres To 1000 Litres Plastic Water Storage Tanks - Color: Different Available,,10 Piece/Pieces,,No,,,,,Funnel-Shaped,,Customized,,50,,,1000 Per Month,,Coated,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,Shivam Enterprises,,,,Water Storage Tanks,,,,,,SHIVAM ENTERPRISES,,,,,INR,,,,,,,,,,,,,,,,,,18%,,,,,,,,,,,,,,8.00 INR,,,,,1,1,1,1,,,,,500,,,,,116.00 cm,94.00 cm,116.00 cm,,,,3.18 INR (Approx.),fixed,,https://www.tradeindia.com/products/water-storage-tank-7342958.html,"Water Storage Tank - BPA-Free, Antibacterial Material | UV and Heat Resistant, Keeps Water Cool for Extended Periods",,1 Liter/Liters,,No,,,,,,free,,,92,,,,,,,,,,,,,,,,,,Liter/Liters,,,,,,,,,10.00 Kilogram,,,
,,,,,,,Water Storage Tanks,,,,,,FALBIN ENGINEERING PVT. LTD.,,,,,,,,,1 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,Africa,,,,,,,,,,,,,,Others Cash in Advance (CID) Cheque,,,,,,,,,,,https://www.tradeindia.com/products/ss-water-tank-c2497409.html,"SS Water Tank - Stainless Steel, 1000 Gallon Capacity | Durable, Corrosion-Resistant, UV-Protection Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Cream,SPIRAL SPECIALIST,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,FRP,,,,,,,,,,,,,Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/frp-underground-water-storage-tanks-c8885104.html,"FRP Underground Water Storage Tanks - FRP Material, Cream Color, Powder Coated, Industrial Usage",FRP Underground Water Storage Tanks,,,,,,,,,,,,,,,10000 Per Month,,,Powder Coated,,,,,,,,,,,,,Industrial,,,,,,,,,,,
,,,N.K SALES INDIA,,,,Water Storage Tanks,,,,,,N.K.SALES INDIA,,,,,INR,,,,,,,,,,,,Delhi,,,,,,0%,,,Industrial,,,,,,,,,,,,All India,Western Europe North America Eastern Europe Middle East Africa South America Australia Asia Central America,Steel,,1,1,1,1,,,,,1,,,Cash on Delivery (COD) Cash Against Delivery (CAD) Cash in Advance (CID) Cheque Cash Advance (CA),,,,,,,,14000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/transit-mixer-water-storage-tank-c6055396.html,Transit Mixer Water Storage Tank Industrial,Transit Mixer Water Storage Tank,15 Piece/Pieces,,No,Yes,Sample costs shipping and taxes has to be paid by the buyer,,,,,,,25,,,,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,Auto Surf,,,,Water Storage Tanks,,,,,White,SHIV SHAKTI ROTO PLAST,,,,,INR,,,,-1 Days,,,,,,,,hazirabhavnagar,,,,,,0%,,,,Commercial,,,,,,,,,,,All India,,Plastic,,1,1,1,1,,,,As per requirement,1,,,Cash Against Delivery (CAD),,,,,PVC,,,17250.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/1500-litres-plastic-water-storage-tank-c7923189.html,1500 Litres Plastic Water Storage Tank - Color: White,,15 Number,,No,,,,,Cylindrical,,Different Available,,20,,,100 Per Day,,,,,,,,,,,,,,,Number,,,,,,1500 Liter (L),,,,,,
water heating systems,,,STEEL CRAFT FABRICATIONS,,,,Water Storage Tanks,NO,,,,Sliver,STEEL CRAFT FABRICATIONS,,,,,INR,,,,2 Week,,,,,,,,Noida,,,,,,0%,,,,,,,,,,,,,,,All India,Central America Western Europe South America Eastern Europe North America Australia Middle East Asia Africa,stainlesssteel,,1,1,1,1,,,,WOODEN PACKING,1,,,,,,,,,,,10000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/solar-water-storage-tanks-c6694272.html,Solar Water Storage Tanks - Color: Sliver,Solar Water Storage Tanks,1 Piece/Pieces,,No,,Contact us for information regarding our sample policy,,,round,,,,5,,,100 Per Week,,,,,,,,,,,,,,,Piece/Pieces,Industrial,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,KEDIA POLYMER,,,,,,,,,48 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Bengal,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/sintex-underground-water-storage-tank-c6568213.html,Sintex Water Storage Tank,,,,,,,,,,,,,,,,10000 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ARIMA CHEMICALS & SYSTEMS,,,,Water Storage Tanks,,,,,Silver,ARIMA CHEMICALS & SYSTEMS,,,,,INR,,,,2-10 Days,,,,,,,,,,,,,,0%,,,,Industrial grade,,,,,,,,,,,All India,,Metal,Stainless Steel,7,7,7,7,,,,,,,,Cash in Advance (CID),,,,,,,,9000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c9921300.html,"Stainless Steel Water Storage Tank - 1000 Liters, Industrial Grade Durability, Vertical Cylindrical Design",,7 Piece/Pieces,,No,,,,,Cylindrical,,,,35,,,1000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,1000 Liter (L),,,,,,
,,,,,,,Water Storage Tanks,,,,,Silver,DAZZLE AQUA,,,,,,,,,5-7 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Mild Steel,Steel,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/stainless-steel-water-storage-tank-c10237833.html,Stainless Steel Water Storage Tank - Color: Silver,,,,,,,,,Cylindrical,,Standard,,,,,10000 Per Month,,,,,,,,,,,,,,,,,,,,,1500 Liter (L),,,,,,
,,,STEAM & POWER ENGINEERS,,,,Water Storage Tanks,,,,,,STEAM & POWER ENGINEERS,,New,,,INR,,,,2 Days,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,Australia North America Eastern Europe Middle East Central America South America Asia Western Europe Africa,Mild Steel,,1,1,1,1,,,,,1,,,,,,,,,,,250000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/deaerators-cum-feed-water-storage-tanks-c2242800.html,Mild Steel Deaerators Cum Feed Water Storage Tanks,Deaerators Cum Feed Water Storage Tanks,1 Unit/Units,,No,,,,,,,,,5,,,5-10 Per Week,,,,,,,,,,,,,,,Unit/Units,Industrial,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,Grey,INDUSMATRIX INDIA PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-underground-water-storage-tanks-c10387289.html,"FRP Underground Water Storage Tanks - MS Material, Standard Size, Grey Color | 220-240V Voltage Rating for Industrial Applications",FRP Underground Water Storage Tanks,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,Industrial,,,,220-240 Volt (v),,,,,,,
,,,,,,,Water Storage Tanks,,,,,Red,MARUTI TECHNOLOGY,,NEW,,,,,,,10 Days,,,,,,,,,,,,,,,,,,First Class,,,,,,,,,,,All India,,,,,,,,,,,,,,,,,,,,,,,,,Normal,https://www.tradeindia.com/products/ms-storage-tank-c9344546.html,Ms Storage Tank - Color: Red,MS Storage Tank,,,,,,,,,,Various Sizes Available,,,,,50 Per Month,,,,,,,,,,,,,,,,Industrial,,,,,,,,,,,
Other,,,,,,,Water Storage Tanks,,,,,Silver,KAD CORPORATION,,,,,,,,,7 Days,,,,,,,,,,,,,50 Hertz (HZ),,,,,,,,,,,,,,,,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,Electric Horsepower (HP),,,,https://www.tradeindia.com/products/heat-pump-20-kw-with-hot-water-storage-tank-3000-ltr-c10820145.html,Heat Pump 20 Kw With Hot Water Storage Tank 3000 Ltr - Color: Silver,Heat Pump 20 KW With Hot Water Storage Tank 3000 LTR,,,,,,,,,,Standard,,,,,1 Per Week,,,,,,,,,,,,,,,,Industrial,,,,220-440 Volt (v),,,,,,,
,,,,,,1000-5000 Ltr/hr,Water Storage Tanks,,,,,Blue,INDIA COMPOSITES AND INDUSTRIAL WORKS,,NEW,,,,,,,2-10 Days,,,,,,,,,,,,,,,,,,Industrial grade,,,,,,,,,,,All India,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-ug-water-storage-tank-c9896170.html,Frp Ug Water Storage Tank - Capacity: 1000-5000 Ltr/Hr,,,,,,,,,,,Standard,,,,,100 Per Month,,,,,,,,,,,,,,,,Store water,,,,,,,,,,,
,,,,,,,Water Storage Tanks,,,,,,SRI SAI KRISHNA FIBRE PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/frp-water-storage-tanks-c6684062.html,"FRP Water Storage Tanks - Durable Fiberglass Reinforced Plastic, Leak-Resistant Design for Long-Lasting Performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Different Available,NIVA CREATION,,,,,,,,,10 Days,Modern,,,,,,,,,Washable,,,,,Female,,,,,,,,,,,,,,All India,,,,,,,,,,Party Wear,,,Hand Print,,,,,,,,,,,,,https://www.tradeindia.com/products/organza-silk-saree-c10295918.html,"Organza Silk Saree - High-Quality Organza Silk, Available in Sizes S, M, L, XL | Hand Embroidery Work, Modern Hand Print Design, Washable for Effortless Care",,,,,,,,Winter Summer,,,SMLXL,,,,,3000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Embroidery
,,,WINASIA GLOBAL VENTURES LLP,,,,Textile,,,,,Pink,WINASIA GLOBAL VENTURES LLP,,,,,INR,,,,20-25 Days,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Silk,,100,100,100,100,,,Party Wear,,1,Printed,,Cash Advance (CA),,,,,,,,4040.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/gadhwal-silk-sarees-with-blouse-c8677121.html,Pink Gadhwal Silk Sarees With Blouse,Gadhwal Silk Sarees With Blouse,100 Unit/Units,,No,,,,Summer,,,,,1000,,,5000 Per Month,,,,,,,,,,,,,,,Unit/Units,,,,,,,,,,,,
,,,,,,,Textile,,,,,Other Customized Color,VIHAA PRINT AND PACK PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clothing Package Other,,,,,,,,,,Other Paper Board,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/colorful-cardboard-clothing-saree-packaging-box-c10197859.html,Colorful Cardboard Clothing Saree packaging Box,Other Colorful Cardboard Clothing Saree packaging Box,,,,,,,,Other Different Shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,,SAHIK PRIVATE LIMITED,,,,,,,,,1 Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,Asia,Silk,,,,,,,,,,,Floral Print,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/ladies-assam-silk-saree-for-party-wear-8537787.html,Ladies Assam Silk Saree For Party Wear Packaging: Plastic Bottle,Ladies Assam Silk Saree For Party Wear,,,,,,,Spring Other Summer Winter Rainy,,,,,,,,10000 Per Week,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Red,SUKARNA,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Silk,,,,,,,,Casual,,,Printed,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/carrot-red-kanjivaram-saree-c9105464.html,Silk Carrot Red Kanjivaram Saree,Carrot Red Kanjivaram Saree,,,,,,,Spring Summer Winter Rainy,,,,,,,,5000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Washable,,,,,,Textile,,,,,,VIVEK TEXTILES,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,,,1066.8 Millimeter (mm),,,,All India,Australia North America South America Eastern Europe Western Europe Middle East Central America Africa Asia,,,,,,,,,,,,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Paypal Delivery Point (DP) Letter of Credit (L/C) Western Union Letter of Credit at Sight (Sight L/C) Telegraphic Transfer (T/T) Days after Acceptance (DA) Cash in Advance (CID) Cheque Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/munga-print-c3931581.html,"Munga Print Saree - Foil Print D No.1125, 42"" Length, Washable, Stylish Plain Texture, Perfect for Clothing",,,,,Yes,Sample costs shipping and taxes has to be paid by the buyer,,,,,,,,,Plain,,,,,,,,,Printed,,,,,,,,,,Clothing,,,,,,,,,
,,,,,,,Textile,,,,,,BIOWASTE SOLUTION,,,,,,,Design color Logo Size Weight,,7 Days,Plain,,,,,,,,,Biodegradable Recyclable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-cover-pack-of-12-c10400206.html,"Saree Cover Set - Customizable Sizes, Colors & Designs | Biodegradable, Recyclable, Flexiloop Handle, Pack of 12",Bags,,,,,,Flexiloop Handle,,,,Different available,,,,,5000 Per Month,,,,,,,,,,,,,,,,,,Saree,,,,,,,,,
,,,,,,,Textile,,,,,Various sizes are available,CAPION GLOBAL PRIVATE LIMITED,,,,,,,,,5 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Party Wear,Standard,,,,Cheque Cash Advance (CA) Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/kanjivaram-jacquard-saree-8650874.html,"Kanjivaram Jacquard Saree - Soft Touch Fabric, Various Sizes Available | Wrinkle Free, No Color Fade, Ideal for Gifting, Perfect for All Seasons",Kanjivaram Jacquard Saree,,,,,Contact us for information regarding our sample policy,,Spring Other Summer Winter Rainy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,,SAI EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,Asia,,,,,,,,,,,,,,Cash on Delivery (COD) Cash Against Delivery (CAD) Cheque Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/ladies-plain-saree-4394302.html,Ladies Plain Saree,,,,,Yes,Free samples are available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SAREE MALL ( A Brand of AARSH LIFESTYLE PRIVATE LIMITED),,,,Textile,,,,,Yellow,SAREE MALL ( A BRAND OF AARSH LIFESTYLE PRIVATE LIMITED),,,,,INR,,,,3-4 Days,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Silk,,59,59,59,59,,,Casual,,,Printed,,Cash Advance (CA),,,,,,,,1010.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/womens-silk-blend-mustard-woven-design-saree-with-blouse-piece-c8743135.html,"Womens Silk Blend Saree - Lightweight Breathable Fabric, Mustard Yellow Woven Design with Matching Blouse Piece",Designer Saree,59 Piece/Pieces,,No,,,,,,,,,295,,,100 Per Week,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,Parvati,,,,Textile,,Other,,,Multicolor,PARVATI FABRICS LTD.,,,,,INR,,,,,,,,,,,,,Other,,,,,0%,,,,,,,,,,,,,,,All India,Asia,Silk,,46,46,46,46,,,Party Wear,,,Other,,Telegraphic Transfer (T/T),,,,,,,,1295.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/women-silk-saree-c9292245.html,Silk Banarasi Saree - Multicolor Zari Work Design | Glamorous Party Wear for Sophisticated Modern Style,Saree,46 Piece/Pieces,,No,,,,Other,,,,,230,,Banarasi,,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,Zari Work
,,,,,,,Textile,,,,,,AROMAVALLEY TRADE PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,,,,,,,,,,,,,Others Cheque,,,,,,,,,,,https://www.tradeindia.com/products/bike-metal-chain-cover-7235399.html,Bike Metal Chain Cover Vehicle Type: Bajaj,Two Wheeler Chain Cover Other,,,,,Contact us for information regarding our sample policy,,,,,,,,,,,,,,,,,,,,,,,,Other Chain Cover,,,,,Bajaj Hero Honda &TVS,,,,,,,,
,,,,,,,Textile,,,,,,UMAKRUPA PLAST,,,,,,,,,7 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as per customer,,,,Paypal Others,,,,,,,,,,,https://www.tradeindia.com/products/plastic-saree-packing-container-6168808.html,Plastic Saree Packing Container,,,,,Yes,Free samples are available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Different Available,K C ASTIR & CO PVT LTD,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,Embroidered,,Cash on Delivery (COD),,,,,,,,,,,https://www.tradeindia.com/products/saree-crochet-strips-c8484083.html,"Saree Crochet Strips - Cotton or Silk with Custom Designs | Reversible, Embroidered Patterns, Available in Various Colors and Sizes",Laces,,,,,,,,,,Different Available,,,,,5000 Per Month,,,,,,,,,,,,,,Reversible,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Blue,NILESH RIBBON INDUSTRIES,,,,,,,,,4-5 Days,,,,,,,,,Cotton,,,,,,,,,,,,,,,,,,,,All India,Australia Western Europe Middle East Central America South America Asia Eastern Europe North America Africa,Nylon,,,,,,,,,Box,,Striped,,Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,,,,,,,,https://www.tradeindia.com/products/fancy-saree-border-lace-c4318976.html,"Fancy Saree Border Lace - Nylon & Silk Blend, Size 20 mm, Blue Color | One-Sided, Striped Pattern Design Options Available",Fancy Saree Border Lace,,,,Yes,Free samples are available,,,Rectangle,,20 mm,,,,,5000 Per Day,,,,,,,,,,,,,,One Sided,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Golden,LALWALA RAJDHANI LACE & BORDER,,,,,,,,,3 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,Asia,,,,,,,,,,Packaging Box,,,,Cash Against Delivery (CAD) Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,,,,,,,,https://www.tradeindia.com/products/metallic-zari-laces-for-saree-349376.html,Golden Metallic Zari Laces For Saree,Laces,,,,,,,,,,Various Sizes Available,,,,,,,,,,,,,,,,,,,One Sided,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Golden Green Red,ONLINE FASHION,,,,,,,,,3 Days,,,,,,,,,Cotton Silk,,,,,,,,,,,,,,,,,,,,All India,Asia Central America North America South America Eastern Europe Western Europe Middle East Australia Africa,Silk,,,,,,,,Party Wear,,,,,Cash Against Delivery (CAD),,,,,,,,,,,https://www.tradeindia.com/products/pure-mercerised-cotton-silk-ladies-saree-8508126.html,Party Wear Pure Mercerised Cotton Silk Ladies Saree,Pure Mercerised Cotton Silk Ladies Saree,,,,Yes,,,Summer Spring,,,,,,,,1000 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
