Application,Attributes,Automatic,Brand Name,Brooches Type,Buttom Base,Capacity,Category,Certifications,Closure,Coating,Coating Side,Color,Company Name,Computerized,Condition,Control Mode,Control System,Currency,Customization,Customized,Decoration Material,Delivery Time,Design,Diameter,Dimension (L*W*H),Dimension(L*W*H),Drawing,Dress Type,Ethnic Region,FOB Port,Fabric Type,Feature,Features,Foundation,Frequency,GSTIN,Gender,Gender/Age Group,General Use,Grade,Heat Resistance,Height,Industrial Use,Installation Type,Jewelry Main Material,Jewelry Type,Length,Logo,Logo Pattern,MRP,Main Domestic Market,Main Export Market(s),Material,Metals Type,Minimum Order Quantity,Minimum Ordered Packs,Mop,Moq,Mounting Type,Noise Level,Occasion,Packaging Details,Packsize,Pattern,Pattern Type,Payment Terms,Phase,Pkg Box Breadth,Pkg Box Height,Pkg Box Length,Plastic Type,Plating,Power,Price,Price Type,Processing,Product Link,Product Name,Product Type,Product Unit,QC System,Returnable,Sample Available,Sample Policy,Sealing and Handle,Season,Shape,Shipping Type,Size,Sleeve Style,Stock Quantity,Storage / Tankless,Style,Supply Ability,Surface Finishing,Surface Materials,Surface Treatment,Technics,Temperature,Temperature Resistance,Tensile Strength,Texture,Thickness,Tightness,Tolerance,Touch Screen,Transparency,Type,Unit Type,Usage,Usage & Applications,Use,Vehicle Type,Voltage,Volume (L),Wall Thickness,Warranty,Weight,Weight (kg),Width,Work Type
,,,R K ENTERPRISE,,,,Textile,,,Uncoated,UNCOATED,White,G K ENTERPRISE,,,,,INR,Size,,,5 Days,,,,,,,,,,Moisture Proof,,,,18%,,,,,,,,,,,,,,162.84 INR,[ ' A l l d i a ' I n ],,,,500,500,500,500,,,,,1,,,,,60.00 cm,60.00 cm,180.00 cm,,,,138.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/uncoated-paper-for-saree-shirt-wrapping-c10086762.html,"Uncoated Paper for Saree / Shirt Wrapping - 60 Thickness, White Color | Moisture Proof, Uncoated Surface, Customizable Size, Versatile for Baking & Crafts",,500 Piece/Pieces,,No,No,,,,1 SIDE,free,,,10000,,,10000 Per Month,,,,,,,,,60 Millimeter (mm),1 SIDE,,,,,Piece/Pieces,,,,,,,,,11.00 Kilogram,,,
,,,,,,,Textile,,,,,Multicolor,PERI BAGS,,,,,INR,,Design color Size,,5-7 Days,Printed,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Other PVC,,60,60,60,60,,,,,1,,,Cash in Advance (CID),,,,,,,,175.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/printed-saree-storage-bag-c10640946.html,Printed Saree Storage Bag - Color: Multicolor,,60 Piece/Pieces,,No,,,,,,,15 x 9 x 18 Inch,,300,,,1000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,saree storage,,,,,,,,,
,,,,,,,Textile,,Other,,,YELLOWPINKORANGESEA-GREEN CREAM,VISHNU WEAVES,,,,,,,,,6 Days,FLORAL,,,,,,,,Khadi,,,,,,WOMEN,,,,,,,,,,,,,,All India,,MUGA COTTON,,,,,,,,Festive,,,FLORAL WEAVING,WEAVING,,,,,,,,,,,,https://www.tradeindia.com/products/muga-cotton-saree-c10868344.html,MUGA COTTON SAREE,SAREE,,,,Yes,Sample costs shipping and taxes has to be paid by the buyer,,Spring Summer Winter Rainy,,,FREE SIZE,,,,WEAVING,1000 Per Day,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,Other
,,,,,,,Textile,,,,,Orange,AMARDEEP UDYOG,,,,,,,,,5-7 Days,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,All India,,Cotton,,,,,,,,Formal,,,Plain,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/ladies-plain-saree-c10688324.html,Ladies Plain Saree - Color: Orange,,,,,,,,,,,,,,,,1000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AFREET ONLINE SERVICES PRIVATE LIMITED,,,,Textile,,,,,Grey,AFREET ONLINE SERVICES PRIVATE LIMITED,,,,,INR,,,,7 Days,,,,,,Ethnic,,,,Dry Cleaning Washable No Fade Quick Dry,,,,0%,,,,,,,,,,,,,,,All India,,,,40,40,40,40,,,,,,Plain,,Cash Advance (CA),,,,,,,,1500.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/ladies-saree-c5991838.html,Grey Ladies Saree,Saree,40 Piece/Pieces,,No,,,,All Season,,,,,200,,,5000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Textile,,,,,,BIZCOVERINDIA.COM LLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/high-quality-sungudi-sarees-c9295485.html,High quality sungudi sarees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Aanandini Paithani,,,,Textile,,,,,Different Available,AANANDINI PAITHANI,,,,,INR,,,,10 Days,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Silk,,1,1,1,1,,,Designer,,,Printed,,Cash in Advance (CID),,,,,,,,95000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/paithani-silk-butta-yellowish-green-saree-c10139064.html,"Paithani Silk Butta Saree - Luxurious Hand Embroidery, Timeless Printed Design in Yellowish Green | Perfect for Weddings, Parties, and Festivals",,1 Piece/Pieces,,No,,,,,,,,,5,,,5000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,Hand Embroidery
,,,,,,,Textile,,,,,Different Available,SUKARTIK CLOTHING PVT. LTD.,,,,,,,,,7 - 10 Days,Modern,,,,,,,,Nylon,Washable,,,,,,Women,,,,,,,,,,,,,All India,,NYLON SPANDEX,,,,,,,,,,,Plain,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/ladies-seamless-saree-shaper-with-drawcord-c10754158.html,Ladies Seamless Saree Shaper With Drawcord - Color: Different Available,,,,,,,,,,,SMLXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,Other,,,5 color,DEVANSHI SAREES PVT. LTD.,,,,,,,,,,,,,,,,,,Tissue,dry wash,,,,,Female,,,,,,,,,,,,,,All India,,art tissue,,,,,,,,Party Wear,,,Printed,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/digital-printed-saree-c10385250.html,Tusser Tissue Pitta Work Fancy Saree - Color: 5 Color,,,,,,,,Spring Winter Rainy,,,6.5,,,,pita woek.,1000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,Zari Work
,,,INDIA WHOLESALE BAZAR,,,,Textile,,,,,MULTICOLOR,MONIMAYA GRAM UDYOG,,,,,INR,,,,1 Week,ELEGANTLY BEAUTIFUL,,,,,,,,,GORGEOUS SAREE,,,,5%,FEMALE,,,,,,,,,,,,SILK PARTY,350.00 INR,Lakshadweep Mizoram Meghalaya Dadra and Nagar Haveli Andaman and Nicobar Islands Rajasthan Sikkim Tamil Nadu Telangana Tripura Pondicherry South India Manipur Andhra Pradesh Bihar Chandigarh Goa Jharkhand Arunachal Pradesh Central India West India North India East India Gujarat Karnataka Kerala Daman and Diu Odisha Punjab Assam Delhi All India Chhattisgarh Haryana Himachal Pradesh Maharashtra Nagaland Jammu and Kashmir Madhya Pradesh Uttar Pradesh Uttarakhand West Bengal,Asia Australia Central America North America South America Eastern Europe Western Europe Middle East Africa,BANARASI SILK,,30,30,30,30,,,,BOX/ CARTON,1,,TEXTURE AND BRINGS IMAGE PRINTS.,Others Paypal Cash Advance (CA) Days after Acceptance (DA) Cash in Advance (CID) Cheque Delivery Point (DP) Western Union,,112.00 cm,25.00 cm,63.00 cm,,,,333.33 INR (Approx.),fixed,,https://www.tradeindia.com/products/women-s-banarasi-saree-c10360625.html,"WOMEN'S BANARASI SAREE - Banarasi Silk, 6 Yards, Multicolor | Elegantly Beautiful Design, Gorgeous Texture with Image Prints",BANARASI SAREE,30 Piece/Pieces,,No,No,,,,,free,6 YARDS,Others,150,,SILK SAREE,100 Per Week,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,450.00 Gram,,,
,,,,,,,Textile,,,,,Multicolor Available,RP CREATIONS,,,,,INR,,,,5-7 Days,,,,,,,,,,,,,,0%,Women,,,,,,,,,,,,,,[ ' A l l I n d i a ' ],[ ],Cotton,,100,100,100,100,,,W e a r ' ] [ ' D a i l y,,1,Printed,,[ ' C a s h i n A d v a n c e ( C I D ) ' ],,,,,,,,900.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/designer-kalamkari-saree-c10104144.html,"Designer Kalamkari Saree - High-Quality Cotton, Multicolor Print | Lightweight, Elegant, Perfect for Summer Daily Wear",Designer Kalamkari Saree,100 Piece/Pieces,,No,,,,[ ' S u m m e r ' ],,,,,5,,,1000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Textile,,,,,As Per Requirement,UNITED INDUSTRIES,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,South India Madhya Pradesh Tamil Nadu Central India Karnataka Telangana Kerala Andhra Pradesh Odisha,,Plastic,,,,,,,,,,,,,Cash Advance (CA),,,,,PP,,,,,,https://www.tradeindia.com/products/plastic-saree-storage-boxes-c10325638.html,"Plastic Saree Storage Boxes - Virgin Grade Polypropylene | Eco-Friendly, Heat Resistant, Attractive Designer Style, Built-In Handles for Easy Access",,,,,,,,,,,,,,,Attractive / Designer,5000 Per Month,Polished,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Transparent,FOREVER ENTERPRISES,,,,,,,,,1-7 Days,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-packaging-bag-c8463126.html,"Saree Packaging Bag - PVC Material, Embossed Surface, Zipper Closure, Transparent Color, Loop Handle",Saree Packaging Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Saree Brooch Other,,,Textile,,,,,,RAHUL PLASTICS,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/plastic-saree-brooch-c6606888.html,"Plastic Saree Brooch - Plastic Cover, 1 Inch Length, Stainless Steel Base | Fashion Pin for Sarees, Alluring Design, Various Sizes Available",,,,,,,,,,,Different Size Available,,,,,500 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Multicolor,SRITHA GANESH ENTERPRISES,,,,,INR,,,,5 Days,,,,,,,,Handloom,Other,,,,,0%,,,,,,,,,,,,,,,,,Silk,,2,2,2,2,,,Ethnic,,1,Plain,,Cash Advance (CA) Cash in Advance (CID),,,,,,,,5000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/kanchipuram-silk-sarees-9499800.html,Kanchipuram Silk Sarees - Occasion: Ethnic,Kanchipuram Silk Sarees,2 Piece/Pieces,,No,,Within a certain price range free samples are available,,Other Other Winter Summer Spring,,,,,10,,Handloom,40 Per Week,,,,,,,,,,,,,Other,,Piece/Pieces,,,,,,,,,,,,Thread Work
,,,,,,,Textile,,Laces,,,Pink,ARRON CREATS,,,,,,,,,1 Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Silk,,,,,,,,,,,Printed,,Cash in Advance (CID) Cheque Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/party-wear-sarees-c1718810.html,Pink Party Wear Sarees,Party Wear Sarees,,,,Yes,Contact us for information regarding our sample policy,,,,,,,,,Bollywood,100 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,Zari Work
,,,,,,,Textile,,Laces,,,Multicolor,DSG WORLD FASHION WEAR,,,,,,,,,7 Days,,,,,,,,,,Good quality,,,,,Women,,,,,,,,,,,,,,All India,,Silk,,,,,,,,,,,Printed,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/ladies-party-wear-banarasi-silk-saree-c10473174.html,"Ladies Party Wear Banarasi Silk Saree - High-Quality Silk Material, Multicolor Printed Pattern | Laces Closure, Elegant Banarasi Style, All-Season Wear",,,,,,,,Summer Winter Spring,,,,,,,Banarasi,100 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Different Available,SONIYA ENTERPRISES,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Silk,,,,,,,,Designer,,,Printed,,Cash on Delivery (COD),,,,,,,,,,,https://www.tradeindia.com/products/ladies-designer-silk-saree-c8930431.html,Different Available Ladies Designer Silk Saree,,,,,,,,Summer Winter,,,,,,,,5000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,as per requirement,MATRUSHREE NARROW FABRICS,,,,,,,,,7-10 Days,,,,,,,,,Cotton,,,,,,,,,,,,,,,,,,,,All India,,Cotton,,,,,,,,,,,Embroidered,,,,,,,,,,,,,https://www.tradeindia.com/products/embroidery-saree-lace-c9940861.html,"Embroidery Saree Lace - Polyester Material , One Sided Embroidered Pattern in Custom Colors",Laces,,,,,,,,,,,,,,,1000 Per Month,,,,,,,,,,,,,,One Sided,,,,,,,,,,,,,
,,,,,,,Textile,,,,,,SAMARTH INDUSTRIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/13x16x2-5-inch-saree-plastic-packaging-box-c7396131.html,Pvc 13X16X2.5 Inch Saree Plastic Packaging Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STAR FISH INDIA LAUNDRY MACHINES PRIVATE LIMITED,,,,Textile,,,,,,STAR FISH INDIA LAUNDRY MACHINES PRIVATE LIMITED,,,,Semi-Automatic,INR,,,,,,,,,,,,,,,,,,18%,,,,,,,,,,,,,,,All India,,Mild steel,,1,1,1,1,,,,,,,,,,,,,,,,300000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/sspsg-1400-gas-single-roller-saree-polishing-with-starch-spray-c9850157.html,Sspg4 1400 Gas Single Roller Saree Polishing With Starch Spray - Material: Mild Steel,,1 Piece/Pieces,,No,,,,,,,2100 x 1060 x1250mm,,5,,,10 Per Month,,,,,,,,,,,,,,,Piece/Pieces,Laundry,,,,220 Volt (v),,,,400 Kilograms (kg),,,
,,,,,,,Textile,,Laces,,,Orange And Pink,BANDHANIWALA TRADING CO.,,,,,,,,,As per customer need Week,,,,,,,,,Cotton Silk,,,,,,,,,,,,,,,,,,,,All India,Australia North America South America Eastern Europe Western Europe Middle East Africa Asia Central America,,,,,,,,,,Poly Bag,,Printed,,Cash on Delivery (COD) Cash in Advance (CID) Cheque Cash Advance (CA),,,,,,,,,,,https://www.tradeindia.com/products/traditional-bandhani-sarees-c3611349.html,"Traditional Bandhani Sarees - Synthetic Silk, 6.25mm with Blouse, Orange and Pink Color | Hand Embroidery, Printed Pattern, Suitable for All Seasons",Sarees,,,,Yes,Sample costs shipping and taxes has to be paid by the buyer,,Summer Rainy Winter,,,,,,,Bandhani,150 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Embroidery
,,,,,,,Textile,,,,,,EA PACKAGING INDIA PVT. LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-packaging-bags-c6325745.html,Saree Packaging Bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Multicolor,MAHAVEER BOX WALA,,,,,,,Design color Size,,7 Days,Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,,,,,,,,,,,,,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/sb-029-sanskriti-sarees-ultrasonic-bags-c10526683.html,Sb 029 Sanskriti Sarees Ultrasonic Bags - Color: Multicolor,,,,,,,,,,,Different available,,,,,5000 Per Month,,,,,,,,,,,,,,,,,,Gift,,,,,,,,,
,,,,,,,Textile,,,,,Multicolor,LOB KUMAR SAHA,,,,,,,,,5 Days,,,,,,,,,Khadi,Skin Friendly,,,,,Ladies,,,,,,,,,,,,,,All India,,Cotton,,,,,,,,,,,Printed,,Cash in Advance (CID) Cheque Days after Acceptance (DA),,,,,,,,,,,https://www.tradeindia.com/products/ladies-printed-khadi-sarees-9276994.html,"Ladies Printed Khadi Sarees - Cotton Fabric, Multicolor, Machine Washable | Anti Shrink, Easy To Clean, Skin Friendly, Colorfastness",Printed Khadi Sarees,,,,,,,Other,,,,,,,,500 Per Week,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,White,T.S.A COLLECTION,,,,,,,,,10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Embroidered,,Cash Against Delivery (CAD) Others Cash on Delivery (COD) Cash Advance (CA) Cash in Advance (CID) Cheque,,,,,,,,,,,https://www.tradeindia.com/products/attractive-design-fine-finish-comfortable-sarees-7997766.html,"Attractive Design Fine Finish Comfortable Sarees - Embroidered Cotton Blend, White Color | Machine Washable, Stone Work, Suitable for Summer & Winter",Saree,,,,,Contact us for information regarding our sample policy,,Summer Winter,,,,,,,,10 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,Stone Work
,,,,,,,Textile,,,,,,AIRBORNE INTERNATIONAL COURIER SERVICES,,,,,,,,,3-4 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/saree-courier-service-c8317486.html,Saree Courier Service,,,,,,,,,,,,,,,,100000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,Multicolor,ELITE EXIM,,,,,,,,,7 Days,Modern,,,,,,,,,High Quality,,,,,Ladies,,,,,,,,,,,,,,All India,,,,,,,,,,,,,Printed,,Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/pochampally-ikkath-sarees-c10549618.html,Pochampally Ikkath Sarees - Color: Multicolor,,,,,,,,,,,,,,,,5000 Per Month,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,zeel,,,,Textile,,Sequins,,,,H K FASHION,,,,,INR,,,,,,,,,,,,,Other,,,,,0%,,,,,,,,,,,,,,,All India,Australia North America South America Eastern Europe Western Europe Middle East Africa Central America Asia,Georgette,,100,100,100,100,,,Party Wear,,1,Embroidered,,Others Cash Advance (CA),,,,,,,,2899.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/party-wear-saree-c7188478.html,Georgette Party Wear Sarees,SAREE,100 Piece/Pieces,,No,,,,Summer Winter Rainy Spring Other,,,,,300,,Bollywood,,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,Sequin Work
,,,,,,,Textile,,,,,,KRUGER METAFORM INDIA PRIVATE LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/clothing-stand-c7404922.html,Saree Hanging Counter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SHIVAAY CREATION,,,,Textile,,,,,Black,SHIVAAY CREATION,,,,,INR,,,,7-10 Days,,,,,,,,,Art Silk,,,,,0%,Female,,,,,,,,,,,,,,,,Georgette,,40,40,40,40,,,Party Wear,,,Embroidered,,,,,,,,,,1500.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/4135-ladies-sarees-c10136202.html,4135 Ladies Sarees - Color: Black,Saree,40 Piece/Pieces,,No,,,,,,,,,200,,Designer,5000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,Sequin Work
,,,,,,,Textile,,,,,,SADABAHAR FASHION,,,,,,,,Other,7 Days,,,,,,Casual,Indian,surat,,Breathable Washable,,,,,,,,,,,,,,,,Customized Logo,,,Dadra and Nagar Haveli Himachal Pradesh Andaman and Nicobar Islands Nagaland Uttarakhand Daman and Diu Lakshadweep Delhi Gujarat South India East India Andhra Pradesh Assam Arunachal Pradesh Chandigarh Goa Jammu and Kashmir Jharkhand Kerala Madhya Pradesh Maharashtra Mizoram Meghalaya Manipur Punjab Pondicherry Sikkim Tamil Nadu Tripura West Bengal Karnataka Haryana Rajasthan North India Bihar Telangana Central India Odisha West India Chhattisgarh Uttar Pradesh All India,,Silk,,,,,,,,,single pieces,,Printed,,Cash Advance (CA) Others Paypal Cash in Advance (CID),,,,,,,,,,,https://www.tradeindia.com/products/dola-silk-saree-c7686053.html,"Dola Silk Saree - Heavy Dola Silk Fabric with Piping & Multi Embroidery, Breathable and Washable, Customized Logo",saree,,,,,,,All Season,,,Customized,Other,,,,1000 Per Day,,,,Other,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,,SIDHARTH TEXTILE,,,,,,,,,2-10 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/hand-bandhani-sarees-c6268287.html,Hand Bandhani Sarees,,,,,,,,,,,,,,,,200 Per Week,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rangolli Design,,,,Textile,,None Other,,,Multicolor (Maroon Green Yellow),RANGOLLI DESIGN,,,,,INR,,,,,,,,,,,,,Other Handloom,,,,,0%,,,,,,,,,,,,,,,,,Cotton,,100,100,100,100,,,Other Casual Festive,,1,Solid with Kantha Work Other,,,,,,,,,,2000.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/kantha-work-on-handloom-saree-c7841201.html,Kantha work on handloom saree,Saree,100 Number,,No,,,,Other All Seasons,,,,,300,,Other Traditional,,,,,,,,,,,,,,Opaque,,Number,,,,,,,,None,,,,Other Kantha Work
,,,S V SAREE HOUSE,,,,Textile,,,,,Multicolor,S V SAREE HOUSE,,,,,INR,,,,7 Days,,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,All India,,Organza Other,,80,80,80,80,,,Casual,,,Printed,,Cash in Advance (CID),,,,,,,,800.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/festival-wear-floral-organza-saree-c9024345.html,Multicolor Festival Wear Floral Organza Saree,Festival Wear Floral Organza Saree,80 Piece/Pieces,,No,,,,Summer Spring Winter Rainy,,,,,400,,Other Indian,1000 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,Jyothi Fashion,,,,Textile,,,,,Multi colours,JYOTHI FASHION,,,,,INR,,,,10 Days,,,,,,,,,Other,,,,,0%,,,,,,,,,,,,,,,All India,Asia Eastern Europe Western Europe,Cotton,,43,43,43,43,,,Festive,,,Hand Print,,,,,,,,,,1395.00 INR (Approx.),fixed,,https://www.tradeindia.com/products/kerala-cotton-saree-c9635273.html,Kerala Cotton Saree - Color: Multi Colours,Kerala Cotton Saree,43 Piece/Pieces,,No,,,,,,,,,215,,South,100 Per Month,,,,,,,,,,,,,,,Piece/Pieces,,,,,,,,,,,,
,,,,,,,Textile,,,,,Silver,SHIV MAHI JEWELLARY,,,,,,,,,5 Days,,,,,,,,,,,,,,,,,,,,,,,Alloy,Brooches,,,,,All India,Asia Australia Central America North America South America Eastern Europe Western Europe Middle East Africa,,,,,,,,,Anniversary Engagement Gift Party Wedding,New Packaging Box,,,,Cash Advance (CA) Cash in Advance (CID),,,,,,Silver Plating,,,,,https://www.tradeindia.com/products/saree-pin-c9979422.html,"Saree Pin - Alloy Brooch with Silver Plating, 1.5 Inch Size, Perfect for Anniversary, Engagement, Gift, Party, Wedding",,,,,Yes,Sample costs shipping and taxes has to be paid by the buyer,,,,,1.5 INCH,,,,,5000 Per Month,,,,,,,,,3 Millimeter (mm),,,,,,,,,,,,,,,6 GSM (gm/2),,,
,,,,,,,Textile,,,,,Orange,MAHALAXMI IMPEX,,,,,,,,,1 Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All India,,Cotton,,,,,,,,,Bag Packing.,,Printed,,Cash in Advance (CID) Cheque,,,,,,,,,,,https://www.tradeindia.com/products/cotton-saree-c3080980.html,Orange Cotton Saree,Cotton Saree,,,,Yes,Sample costs shipping and taxes has to be paid by the buyer,,,,,,,,,Other Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Textile,,,,,,VIRAT FAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tradeindia.com/products/satin-fabrics-for-saree-c9135931.html,Satin Printed Fabric For Saree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
